id,academic_year,semester,label,is_current,active
2025-2026-HK01,2025-2026,HK01,2025-2026 · HK01,FALSE,TRUE
2025-2026-HK02,2025-2026,HK02,2025-2026 · HK02,TRUE,TRUE
